,region,Long10,Lat10,Altitude,TempAnn,TempDayRng,Isotherm,TempSeas,TempMax,TempMin,TempAnnRng,PrecAnn,PrecWetP,PrecDryP,PrecSeas,WaterDefDur,WaterDefSev,WaterExcDur,WaterExcSev,HyperSeas,DaysFrost,Cloudiness,PotentialET,AridityIndex,GrassCover,IflamIndex,Rockiness,Sandiness,SoilDrain,SoilWaterStorage,SoilFert,Salinity
AtlPR084,south,-51.16,-23.95,1034,17.3,12.7,64,264,26.6,6.8,19.8,1552,199,73,28,0,0,300,387,0,6,100,1423,109,0,0,5,5,50,73,37,0
AtlPR085,south,-50.22,-24.17,939,17.8,12.5,61,291,27.2,6.8,20.4,1370,174,63,31,0,0,220,260,0,5,0,1442,95,0,0,20,85,50,49,37,0
AtlPR086,south,-50.16,-24.67,1058,17.2,11.9,60,269,26.6,6.8,19.8,1491,180,76,25,0,0,300,338,0,5,99,1357,110,0,0,20,85,50,49,37,0
AtlPR087,south,-51.84,-24.77,1003,17.1,11.7,61,284,26.2,7.1,19.1,1741,242,90,33,0,0,335,551,0,5,109,1389,125,0,0,5,15,50,70,37,0
AtlPR088,south,-52.16,-24.88,914,17.9,11.7,60,298,27.1,7.7,19.4,1721,205,90,28,0,0,340,533,0,3,0,1399,123,0,0,5,15,50,70,37,0
AtlPR089,south,-51.29,-25.08,1153,16.8,11.5,61,282,25.8,6.9,18.9,1675,192,101,22,0,0,360,475,0,6,121,1343,125,0,0,5,15,50,70,37,0
AtlPR090,south,-51.9,-25.19,921,17.2,11.6,60,294,26.4,7.1,19.3,1743,206,98,24,0,0,355,545,0,5,0,1381,126,0,0,5,15,50,70,37,0
AtlPR091,south,-52.41,-25.24,947,17,12.1,60,308,26.5,6.4,20.1,1831,204,101,23,0,0,360,631,0,7,0,1415,129,0,0,5,15,50,70,37,0
AtlPR092,south,-51.47,-25.35,1082,17,11.1,60,278,25.9,7.5,18.4,1699,190,103,19,0,0,360,499,0,4,115,1332,128,0,0,5,15,50,70,37,0
AtlPR093,south,-50.69,-25.41,917,17.3,11.6,59,307,26.8,7,19.8,1507,175,78,25,0,0,270,358,0,5,0,1374,110,0,0,20,65,50,54,67,0
AtlPR094,south,-50.02,-25.42,925,17.3,11.6,59,302,26.7,6.9,19.8,1478,212,79,31,0,0,250,335,0,5,0,1363,108,0,0,20,65,50,54,67,0
AtlPR095,south,-52.4,-25.46,929,17.3,12.4,60,318,27.2,6.5,20.7,1813,195,108,21,0,0,360,613,0,6,0,1417,128,0,0,5,15,50,70,37,0
AtlPR096,south,-49.67,-25.56,928,16.6,11.1,57,301,25.9,6.4,19.5,1413,185,77,27,0,0,250,272,0,6,0,1324,107,0,0,5,15,50,70,37,0
AtlPR097,south,-51.06,-25.81,1175,15.6,11.7,59,298,25.1,5.4,19.7,1680,180,95,19,0,0,345,485,0,10,123,1312,128,0,0,5,15,50,70,37,0
AtlPR098,south,-51.99,-25.85,1008,16.4,12.3,60,313,26.3,5.7,20.6,1847,197,110,18,0,0,360,647,0,9,116,1380,134,0,0,5,15,50,70,37,0
